alt,title
"3-комнатная квартира · 90 м² · 23/27 этаж, Ул.кошкарбаев 8 за 55 млн 〒 в Астане, Алматы р-н","Продажа квартир в Астане: 3-комнатная квартира · 90 м² · 23/27 этаж, Ул.кошкарбаев 8 за 55 млн 〒"
"3-комнатная квартира · 85.1 м², Туран 57/7 за ~ 35.3 млн 〒 в Астане, Нура р-н","Планировки ЖК в Астане: 3-комнатная квартира · 85.1 м², Туран 57/7 за ~ 35.3 млн 〒"
"2-комнатная квартира · 79.83 м², 29а мкр уч 130/5 за ~ 14.3 млн 〒 в Актау, 29а мкр","Планировки ЖК в Мангистауской обл.: 2-комнатная квартира · 79.83 м², 29а мкр уч 130/5 за ~ 14.3 млн 〒"
"3-комнатная квартира · 78.07 м², Тараз 8/1 за ~ 40.2 млн 〒 в Алматы, Турксибский р-н","Планировки ЖК в Алматы: 3-комнатная квартира · 78.07 м², Тараз 8/1 за ~ 40.2 млн 〒"
"1-комнатная квартира · 39.6 м², Шаймерденова 4/3 за ~ 13.9 млн 〒 в Астане, Алматы р-н","Планировки ЖК в Астане: 1-комнатная квартира · 39.6 м², Шаймерденова 4/3 за ~ 13.9 млн 〒"
"3-комнатная квартира · 86.03 м², Жубан Молдагалиев 3 за 34.4 млн 〒 в Астане, Нура р-н","Планировки ЖК в Астане: 3-комнатная квартира · 86.03 м², Жубан Молдагалиев 3 за 34.4 млн 〒"
"4-комнатная квартира · 134.82 м², 15-й мкр 48 участок за ~ 111.6 млн 〒 в Актау, 15-й мкр","Планировки ЖК в Мангистауской обл.: 4-комнатная квартира · 134.82 м², 15-й мкр 48 участок за ~ 111.6 млн 〒"
"2-комнатная квартира · 62 м², Жамбыла 162 за ~ 21.1 млн 〒 в Таразе","Планировки ЖК в Жамбылской обл.: 2-комнатная квартира · 62 м², Жамбыла 162 за ~ 21.1 млн 〒"
"2-комнатная квартира · 72.2 м², Аскар Токпанов 12 за ~ 41.5 млн 〒 в Астане, Алматы р-н","Планировки ЖК в Астане: 2-комнатная квартира · 72.2 м², Аскар Токпанов 12 за ~ 41.5 млн 〒"
"2-комнатная квартира · 59.6 м², Туран 55/12 за ~ 32.7 млн 〒 в Астане, Нура р-н","Планировки ЖК в Астане: 2-комнатная квартира · 59.6 м², Туран 55/12 за ~ 32.7 млн 〒"
"1-комнатная квартира · 43 м² · 10/12 этаж, Чингиз Айтматов 60 за 19.5 млн 〒 в Астане, Есильский р-н","Продажа квартир в Астане: 1-комнатная квартира · 43 м² · 10/12 этаж, Чингиз Айтматов 60 за 19.5 млн 〒"
"3-комнатная квартира · 74 м² · 9/13 этаж, Толе би 189/3к6 — Гагарина за 41.5 млн 〒 в Алматы, Алмалинский р-н","Продажа квартир в Алматы: 3-комнатная квартира · 74 м² · 9/13 этаж, Толе би 189/3к6 — Гагарина за 41.5 млн 〒"
"Отдельный дом · 3 комнаты · 71 м² · 10 сот., Моховая 76 — Средняя школа 4 за 11 млн 〒 в Щучинске","Продажа домов и дачи в Акмолинской обл.: Отдельный дом · 3 комнаты · 71 м² · 10 сот., Моховая 76 — Средняя школа 4 за 11 млн 〒"
"1-комнатная квартира · 39 м² · 5/5 этаж, Жастар за 9 млн 〒 в Талдыкоргане","Продажа квартир в Жетысу обл.: 1-комнатная квартира · 39 м² · 5/5 этаж, Жастар за 9 млн 〒"
"1-комнатная квартира · 32 м² · 2/10 этаж посуточно, Карасай батыр 326 — Варламова за 14 000 〒 в Алматы, Алмалинский р-н","Аренда квартир посуточно в Алматы: 1-комнатная квартира · 32 м² · 2/10 этаж посуточно, Карасай батыр 326 — Варламова за 14 000 〒"
"1-комнатная квартира · 50 м² · 5/14 этаж посуточно, 17-й мкр, ​17-й микрорайон 6 за 13 000 〒 в Актау, 17-й мкр","Аренда квартир посуточно в Мангистауской обл.: 1-комнатная квартира · 50 м² · 5/14 этаж посуточно, 17-й мкр, ​17-й микрорайон 6 за 13 000 〒"
"2-комнатная квартира · 48.5 м² · 5/5 этаж помесячно, Ул.Туркестанская — Ул.Байтурсынова за 165 000 〒 в Шымкенте, Аль-Фарабийский р-н","Аренда квартир в Шымкенте: 2-комнатная квартира · 48.5 м² · 5/5 этаж помесячно, Ул.Туркестанская — Ул.Байтурсынова за 165 000 〒"
"1-комнатная квартира · 54 м² · 5/9 этаж помесячно, Толе би 4 — Абдуллиных за 300 000 〒 в Алматы, Медеуский р-н","Аренда квартир в Алматы: 1-комнатная квартира · 54 м² · 5/9 этаж помесячно, Толе би 4 — Абдуллиных за 300 000 〒"
"3-комнатная квартира · 65 м² · 4/12 этаж помесячно, Аэропортная 4/2 — Бухтарминская за 250 000 〒 в ","Аренда квартир в Алматинской обл.: 3-комнатная квартира · 65 м² · 4/12 этаж помесячно, Аэропортная 4/2 — Бухтарминская за 250 000 〒"
"2-комнатная квартира · 57 м² · 8/12 этаж посуточно, мкр Акбулак 55 за 15 000 〒 в Алматы, Алатауский р-н","Аренда квартир посуточно в Алматы: 2-комнатная квартира · 57 м² · 8/12 этаж посуточно, мкр Акбулак 55 за 15 000 〒"
