Image URL,Description
//kolesa.kz/static/frontend/images/kolesa-logo-new.svg,Колеса
https://kolesa-photos.kcdn.online/webp/64/64e1fcc2-b10d-4831-b803-9d867468468d/3-120x90.jpg,Hyundai Creta 2019 года за 9 200 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/64/64e1fcc2-b10d-4831-b803-9d867468468d/3-200x150.jpg,Hyundai Creta 2019 года за 9 200 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/03/0374c021-c7b4-49d3-a7c4-9c447347336f/1-120x90.jpg,Volkswagen Teramont 2018 года за 17 000 000 тг. в Атырау
https://kolesa-photos.kcdn.online/webp/03/0374c021-c7b4-49d3-a7c4-9c447347336f/1-200x150.jpg,Volkswagen Teramont 2018 года за 17 000 000 тг. в Атырау
https://kolesa-photos.kcdn.online/webp/b3/b37e736c-6dc8-44fd-8c17-9d86b512ff5d/1-120x90.jpg,ВАЗ (Lada) 2115 2007 года за 1 200 000 тг. в Комсомольское
https://kolesa-photos.kcdn.online/webp/b3/b37e736c-6dc8-44fd-8c17-9d86b512ff5d/1-200x150.jpg,ВАЗ (Lada) 2115 2007 года за 1 200 000 тг. в Комсомольское
https://kolesa-photos.kcdn.online/webp/5f/5f22d9df-c3fc-4a33-9b00-99f516cdda08/1-120x90.jpg,ГАЗ Соболь 27527 2024 года за 10 842 000 тг. в Атырау
https://kolesa-photos.kcdn.online/webp/5f/5f22d9df-c3fc-4a33-9b00-99f516cdda08/1-200x150.jpg,ГАЗ Соболь 27527 2024 года за 10 842 000 тг. в Атырау
https://kolesa-photos.kcdn.online/webp/e6/e67582bd-6c3c-4068-b143-9ccf2b8a58cf/1-120x90.jpg,BYD Yuan Up 2024 года за 9 700 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/e6/e67582bd-6c3c-4068-b143-9ccf2b8a58cf/1-200x150.jpg,BYD Yuan Up 2024 года за 9 700 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/dd/dd83b2f2-87ef-4861-a8ea-9d82215e3969/1-120x90.jpg,Chevrolet Cobalt 2022 года за 5 490 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/dd/dd83b2f2-87ef-4861-a8ea-9d82215e3969/1-200x150.jpg,Chevrolet Cobalt 2022 года за 5 490 000 тг. в Алматы
https://kolesa-photos.kcdn.online/webp/7f/7f8e37b4-0378-4e3d-8b11-9d6abc2d7a16/1-120x90.jpg,Hyundai Sonata 2023 года за 12 510 000 тг. в Шымкент
https://kolesa-photos.kcdn.online/webp/7f/7f8e37b4-0378-4e3d-8b11-9d6abc2d7a16/1-200x150.jpg,Hyundai Sonata 2023 года за 12 510 000 тг. в Шымкент
