Image URL,Модель,Год,Цена,Валюта,Город
//kolesa.kz/static/frontend/images/kolesa-logo-new.svg,,,,,
https://kolesa-photos.kcdn.online/webp/64/64e1fcc2-b10d-4831-b803-9d867468468d/3-120x90.jpg,Hyundai Creta,2019,9200000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/64/64e1fcc2-b10d-4831-b803-9d867468468d/3-200x150.jpg,Hyundai Creta,2019,9200000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/03/0374c021-c7b4-49d3-a7c4-9c447347336f/1-120x90.jpg,Volkswagen Teramont,2018,17000000,тг.,Атырау
https://kolesa-photos.kcdn.online/webp/03/0374c021-c7b4-49d3-a7c4-9c447347336f/1-200x150.jpg,Volkswagen Teramont,2018,17000000,тг.,Атырау
https://kolesa-photos.kcdn.online/webp/b3/b37e736c-6dc8-44fd-8c17-9d86b512ff5d/1-120x90.jpg,ВАЗ (Lada) 2115,2007,1200000,тг.,Комсомольское
https://kolesa-photos.kcdn.online/webp/b3/b37e736c-6dc8-44fd-8c17-9d86b512ff5d/1-200x150.jpg,ВАЗ (Lada) 2115,2007,1200000,тг.,Комсомольское
https://kolesa-photos.kcdn.online/webp/5f/5f22d9df-c3fc-4a33-9b00-99f516cdda08/1-120x90.jpg,ГАЗ Соболь 27527,2024,10842000,тг.,Атырау
https://kolesa-photos.kcdn.online/webp/5f/5f22d9df-c3fc-4a33-9b00-99f516cdda08/1-200x150.jpg,ГАЗ Соболь 27527,2024,10842000,тг.,Атырау
https://kolesa-photos.kcdn.online/webp/e6/e67582bd-6c3c-4068-b143-9ccf2b8a58cf/1-120x90.jpg,BYD Yuan Up,2024,9700000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/e6/e67582bd-6c3c-4068-b143-9ccf2b8a58cf/1-200x150.jpg,BYD Yuan Up,2024,9700000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/dd/dd83b2f2-87ef-4861-a8ea-9d82215e3969/1-120x90.jpg,Chevrolet Cobalt,2022,5490000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/dd/dd83b2f2-87ef-4861-a8ea-9d82215e3969/1-200x150.jpg,Chevrolet Cobalt,2022,5490000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/7f/7f8e37b4-0378-4e3d-8b11-9d6abc2d7a16/1-120x90.jpg,Hyundai Sonata,2023,12510000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/7f/7f8e37b4-0378-4e3d-8b11-9d6abc2d7a16/1-200x150.jpg,Hyundai Sonata,2023,12510000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/eb/eb527f4b-1972-4b8f-8a9d-98bb372d466a/37-120x90.jpg,Zeekr 009 WE,2024,30200000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/eb/eb527f4b-1972-4b8f-8a9d-98bb372d466a/37-200x150.jpg,Zeekr 009 WE,2024,30200000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/2f/2fe7c9ec-14da-468b-b0a7-9d854fad50eb/1-120x90.jpg,Chevrolet Captiva,2013,7700000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/2f/2fe7c9ec-14da-468b-b0a7-9d854fad50eb/1-200x150.jpg,Chevrolet Captiva,2013,7700000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/a0/a0adbcc7-8b8e-43a0-a934-9bd42114651c/8-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/a0/a0adbcc7-8b8e-43a0-a934-9bd42114651c/8-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/53/53fe3aa0-1cad-4fa5-9f91-9d86b08936de/2-120x90.jpg,Mercedes-Benz E 320,1999,4400000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/53/53fe3aa0-1cad-4fa5-9f91-9d86b08936de/2-200x150.jpg,Mercedes-Benz E 320,1999,4400000,тг.,Алматы
https://kolesa-photos.kcdn.online/webp/fb/fbd39852-04db-4d64-b8f3-9bad781f906f/2-120x90.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/fb/fbd39852-04db-4d64-b8f3-9bad781f906f/2-200x150.jpg,,,,,
https://kolesa-photos.kcdn.online/webp/e8/e8a989da-2533-4a08-85ec-9d851b02e8fb/4-120x90.jpg,Lexus NX 350,2022,23500000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/e8/e8a989da-2533-4a08-85ec-9d851b02e8fb/4-200x150.jpg,Lexus NX 350,2022,23500000,тг.,Шымкент
https://kolesa-photos.kcdn.online/webp/c2/c2f0e395-7c08-43f0-a424-9d86b308f502/2-120x90.jpg,Toyota Camry,2007,5850000,тг.,Кокшетау
